Sr.No.,Course,Job profession,Student,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,,,,,,,,,
1,,"Astronomer
",S1,11,5,12,16,17,11,18,19,,,,,,,,,
,,"Astronomer
",S2,12,6,12,16,16,11,18,19,,,,,,,,,
,,"Astronomer
",S3,13,7,12,16,15,11,18,19,,,,,,,,,
,,"Astronomer
",S4,14,8,12,16,19,11,18,19,,,,,,,,,
,,"Astronomer
",S5,13,9,12,16,20,11,19,19,,,,,,,,,
,,"Astronomer
",S6,12,8,12,16,17,11,19,19,,,,,,,,,
,,"Astronomer
",S7,11,7,12,16,16,11,19,19,,,,,,,,,
,,"Astronomer
",S8,14,6,12,16,15,11,19,19,,,,,,,,,
,,"Astronomer
",S9,11,5,12,16,19,11,19,19,,,,,,,,,
,,"Astronomer
",S10,12,5,13,16,20,12,19,19,,,,,,,,,
,,"Astronomer
",S11,13,6,13,16,17,12,19,19,,,,,,,,,
,,"Astronomer
",S12,14,7,13,16,16,12,19,19,,,,,,,,,
,,"Astronomer
",S13,13,8,13,17,15,12,19,19,,,,,,,,,
,,"Astronomer
",S14,12,9,13,17,19,12,19,19,,,,,,,,,
,,"Astronomer
",S15,11,8,13,17,20,12,19,18,,,,,,,,,
,,"Astronomer
",S16,14,7,13,17,15,12,19,18,,,,,,,,,
,,"Astronomer
",S17,11,6,13,17,15,12,20,18,,,,,,,,,
,,"Astronomer
",S18,12,5,13,18,16,12,20,18,,,,,,,,,
,,"Astronomer
",S19,13,5,13,18,16,12,20,18,,,,,,,,,
,,"Astronomer
",S20,14,6,14,18,17,13,20,18,,,,,,,,,
,,"Astronomer
",S21,13,7,14,18,16,13,20,18,,,,,,,,,
,,"Astronomer
",S22,12,8,14,18,15,13,16,18,,,,,,,,,
,,"Astronomer
",S23,11,9,14,18,19,13,16,18,,,,,,,,,
,,"Astronomer
",S24,14,8,14,18,20,13,16,18,,,,,,,,,
,,"Astronomer
",S25,11,7,14,18,16,13,16,19,,,,,,,,,
,,"Astronomer
",S26,12,6,14,19,16,13,16,20,,,,,,,,,
,,"Astronomer
",S27,13,5,14,19,17,13,16,20,,,,,,,,,
,,"Astronomer
",S28,14,5,14,19,17,13,16,20,,,,,,,,,
,,"Astronomer
",S29,13,5,14,19,16,13,16,20,,,,,,,,,
,,"Astronomer
",S30,12,6,14,19,15,13,16,20,,,,,,,,,
,,"Astronomer
",S31,11,7,14,19,19,13,16,20,,,,,,,,,
,,"Astronomer
",S32,14,8,14,19,20,13,16,20,,,,,,,,,
,,"Astronomer
",S33,11,9,14,19,17,13,16,20,,,,,,,,,
,,"Astronomer
",S34,12,8,14,19,17,13,16,20,,,,,,,,,
,,"Astronomer
",S35,13,7,11,19,17,13,16,20,,,,,,,,,
,,"Astronomer
",S36,14,6,11,19,16,13,16,20,,,,,,,,,
,,"Astronomer
",S37,13,5,11,20,15,13,16,20,,,,,,,,,
,,"Astronomer
",S38,12,8,11,20,19,12,16,20,,,,,,,,,
,,"Astronomer
",S39,11,5,11,20,20,12,16,20,,,,,,,,,
,,"Astronomer
",S40,14,6,11,20,17,12,16,20,,,,,,,,,
,,"Astronomer
",S41,11,7,11,20,17,12,17,15,,,,,,,,,
,,"Astronomer
",S42,12,8,11,20,18,12,17,15,,,,,,,,,
,,"Astronomer
",S43,13,9,11,20,17,12,17,15,,,,,,,,,
,,"Astronomer
",S44,14,8,11,20,16,12,17,15,,,,,,,,,
,,"Astronomer
",S45,13,7,12,20,15,11,17,15,,,,,,,,,
,,"Astronomer
",S46,12,6,12,20,19,11,17,15,,,,,,,,,
,,"Astronomer
",S47,11,5,12,20,20,11,17,15,,,,,,,,,
,,"Astronomer
",S48,14,9,12,20,18,11,17,15,,,,,,,,,
,,"Astronomer
",S49,11,7,12,20,18,11,17,15,,,,,,,,,
,,"Astronomer
",S50,12,9,12,20,18,11,17,15,,,,,,,,,
2,,Geologist,S51,11,8,17,19,13,6,12,20,,,,,,,,,
,,Geologist,S52,12,5,16,19,14,7,12,20,,,,,,,,,
,,Geologist,S53,13,6,15,19,13,8,12,20,,,,,,,,,
,,Geologist,S54,14,7,19,19,12,9,12,20,,,,,,,,,
,,Geologist,S55,13,8,20,19,11,8,12,20,,,,,,,,,
,,Geologist,S56,12,9,17,19,14,5,12,20,,,,,,,,,
,,Geologist,S57,11,8,17,19,11,6,12,20,,,,,,,,,
,,Geologist,S58,14,5,18,19,12,7,12,20,,,,,,,,,
,,Geologist,S59,11,6,17,19,13,8,12,20,,,,,,,,,
,,Geologist,S60,12,7,17,19,13,9,12,20,,,,,,,,,
,,Geologist,S61,13,8,16,19,14,8,13,20,,,,,,,,,
,,Geologist,S62,14,9,15,15,13,5,13,20,,,,,,,,,
,,Geologist,S63,13,8,19,15,12,6,13,20,,,,,,,,,
,,Geologist,S64,12,5,20,15,11,7,13,20,,,,,,,,,
,,Geologist,S65,11,6,17,15,14,8,13,20,,,,,,,,,
,,Geologist,S66,14,7,17,15,11,9,13,20,,,,,,,,,
,,Geologist,S67,11,8,18,15,12,8,13,20,,,,,,,,,
,,Geologist,S68,12,9,17,15,13,5,13,18,,,,,,,,,
,,Geologist,S69,13,8,17,15,13,6,13,18,,,,,,,,,
,,Geologist,S70,14,5,16,15,14,7,13,18,,,,,,,,,
,,Geologist,S71,13,6,15,15,13,8,13,18,,,,,,,,,
,,Geologist,S72,12,7,19,18,12,9,13,18,,,,,,,,,
,,Geologist,S73,11,8,20,18,11,8,11,18,,,,,,,,,
,,Geologist,S74,14,9,17,18,14,5,11,18,,,,,,,,,
,,Geologist,S75,11,8,17,18,11,6,11,18,,,,,,,,,
,,Geologist,S76,12,5,18,18,12,7,11,18,,,,,,,,,
,,Geologist,S77,13,6,17,18,13,8,11,18,,,,,,,,,
,,Geologist,S78,14,7,17,18,13,9,11,18,,,,,,,,,
,,Geologist,S79,13,8,16,18,14,8,11,18,,,,,,,,,
,,Geologist,S80,12,9,15,18,13,5,11,18,,,,,,,,,
,,Geologist,S81,11,8,19,18,12,6,11,18,,,,,,,,,
,,Geologist,S82,14,5,20,18,11,7,11,18,,,,,,,,,
,,Geologist,S83,11,6,17,18,14,8,11,18,,,,,,,,,
,,Geologist,S84,12,7,17,18,11,9,11,17,,,,,,,,,
,,Geologist,S85,13,8,18,18,12,8,11,17,,,,,,,,,
,,Geologist,S86,14,9,17,18,13,5,11,17,,,,,,,,,
,,Geologist,S87,13,8,17,18,13,6,14,17,,,,,,,,,
,,Geologist,S88,12,5,16,18,14,7,14,17,,,,,,,,,
,,Geologist,S89,11,6,15,18,13,8,14,17,,,,,,,,,
,,Geologist,S90,14,7,19,19,12,9,14,17,,,,,,,,,
,,Geologist,S91,11,8,20,19,11,8,14,17,,,,,,,,,
,,Geologist,S92,12,9,17,19,14,5,14,17,,,,,,,,,
,,Geologist,S93,13,8,17,19,11,6,14,17,,,,,,,,,
,,Geologist,S94,14,5,18,19,12,7,14,17,,,,,,,,,
,,Geologist,S95,13,6,17,19,11,8,14,17,,,,,,,,,
,,Geologist,S96,12,7,16,19,12,9,14,17,,,,,,,,,
,,Geologist,S97,11,8,15,19,13,8,14,17,,,,,,,,,
,,Geologist,S98,14,9,19,19,14,5,14,17,,,,,,,,,
,,Geologist,S99,11,7,20,19,13,9,14,17,,,,,,,,,
,,Geologist,S100,12,6,17,19,12,7,14,17,,,,,,,,,
3,,"Marine Biologist
",S101,5,6,11,20,12,7,13,19,,,,,,,,,
,,"Marine Biologist
",S102,6,5,12,20,12,9,13,19,,,,,,,,,
,,"Marine Biologist
",S103,7,6,14,20,12,10,11,19,,,,,,,,,
,,"Marine Biologist
",S104,8,7,12,20,12,9,12,19,,,,,,,,,
,,"Marine Biologist
",S105,9,8,13,20,12,8,14,19,,,,,,,,,
,,"Marine Biologist
",S106,10,9,11,20,12,7,12,19,,,,,,,,,
,,"Marine Biologist
",S107,9,8,12,20,12,6,13,19,,,,,,,,,
,,"Marine Biologist
",S108,8,5,14,20,12,6,11,19,,,,,,,,,
,,"Marine Biologist
",S109,7,6,12,20,12,9,12,19,,,,,,,,,
,,"Marine Biologist
",S110,6,7,13,20,12,10,14,19,,,,,,,,,
,,"Marine Biologist
",S111,6,8,11,20,12,9,13,19,,,,,,,,,
,,"Marine Biologist
",S112,7,9,12,20,12,8,11,19,,,,,,,,,
,,"Marine Biologist
",S113,8,5,14,20,12,7,12,19,,,,,,,,,
,,"Marine Biologist
",S114,9,6,12,20,12,6,14,19,,,,,,,,,
,,"Marine Biologist
",S115,10,7,13,20,12,6,12,19,,,,,,,,,
,,"Marine Biologist
",S116,9,8,11,20,12,9,13,19,,,,,,,,,
,,"Marine Biologist
",S117,8,9,12,20,12,10,11,19,,,,,,,,,
,,"Marine Biologist
",S118,7,8,14,20,12,9,12,19,,,,,,,,,
,,"Marine Biologist
",S119,6,5,12,20,12,8,14,19,,,,,,,,,
,,"Marine Biologist
",S120,6,6,13,19,12,7,13,19,,,,,,,,,
,,"Marine Biologist
",S121,7,7,11,19,12,6,11,19,,,,,,,,,
,,"Marine Biologist
",S122,8,8,12,19,12,6,12,19,,,,,,,,,
,,"Marine Biologist
",S123,9,9,14,19,11,9,14,16,,,,,,,,,
,,"Marine Biologist
",S124,10,5,12,19,11,10,12,16,,,,,,,,,
,,"Marine Biologist
",S125,9,6,13,19,11,9,13,16,,,,,,,,,
,,"Marine Biologist
",S126,8,7,11,19,11,8,11,16,,,,,,,,,
,,"Marine Biologist
",S127,7,8,12,19,11,7,12,16,,,,,,,,,
,,"Marine Biologist
",S128,6,9,14,19,11,6,14,16,,,,,,,,,
,,"Marine Biologist
",S129,6,8,12,19,11,6,13,16,,,,,,,,,
,,"Marine Biologist
",S130,7,5,13,19,11,9,11,16,,,,,,,,,
,,"Marine Biologist
",S131,8,6,11,19,11,10,12,16,,,,,,,,,
,,"Marine Biologist
",S132,9,7,12,19,11,9,14,16,,,,,,,,,
,,"Marine Biologist
",S133,10,8,14,19,14,8,12,16,,,,,,,,,
,,"Marine Biologist
",S134,9,9,12,18,14,7,13,16,,,,,,,,,
,,"Marine Biologist
",S135,8,5,13,18,14,6,11,16,,,,,,,,,
,,"Marine Biologist
",S136,7,6,11,18,14,6,12,18,,,,,,,,,
,,"Marine Biologist
",S137,6,7,12,18,14,9,14,18,,,,,,,,,
,,"Marine Biologist
",S138,6,8,14,18,14,10,13,18,,,,,,,,,
,,"Marine Biologist
",S139,7,9,12,18,14,9,11,18,,,,,,,,,
,,"Marine Biologist
",S140,8,8,13,18,14,8,12,18,,,,,,,,,
,,"Marine Biologist
",S141,9,5,11,18,14,7,14,18,,,,,,,,,
,,"Marine Biologist
",S142,10,6,12,18,14,6,12,18,,,,,,,,,
,,"Marine Biologist
",S143,9,7,14,18,14,6,13,18,,,,,,,,,
,,"Marine Biologist
",S144,8,8,12,18,12,9,11,18,,,,,,,,,
,,"Marine Biologist
",S145,7,9,13,18,12,10,12,18,,,,,,,,,
,,"Marine Biologist
",S146,6,5,12,18,12,9,14,18,,,,,,,,,
,,"Marine Biologist
",S147,8,6,14,17,12,8,13,18,,,,,,,,,
,,"Marine Biologist
",S148,7,7,12,17,12,7,11,18,,,,,,,,,
,,"Marine Biologist
",S149,6,8,13,17,12,6,12,18,,,,,,,,,
,,"Marine Biologist
",S150,9,9,11,17,12,6,14,18,,,,,,,,,
4,,Veterinarian,S151,11,5,11,12,6,17,19,18,,,,,,,,,
