,Id,O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
0,5837532,5.91,7.57,3.64,7.81,4.08,3.36,9.23,4.16,7.99,8.45,Genetic Counselor
1,4722751,2.67,7.79,7.37,9.34,5.44,5.84,3.21,4.66,3.61,6.18,Pediatric Nurse
2,13034467,5.4,4.17,7.01,6.82,3.56,9.25,2.39,9.34,7.89,8.55,Financial Advisor
3,16057967,7.91,8.21,4.87,8.61,3.81,9.45,8.04,4.81,3.27,9.34,Architect
4,1749929,9.02,8.17,5.59,5.45,4.9,4.76,2.34,6.88,8.23,5.52,Electrical Engineer
5,10063795,4.52,6.76,5.04,6.76,4.49,5.76,8.7,7.44,3.5,4.22,Tax Accountant
6,627027,3.6,7.6,4.88,7.63,5.14,8.7,3.78,3.72,7.08,4.03,Mechanical Designer
7,12865618,6.95,3.56,4.92,6.87,6.0,9.45,3.53,7.2,3.37,5.07,Tax Collector
8,9391254,6.54,8.66,4.98,4.78,6.46,9.45,5.34,4.93,5.2,6.03,Geologist
9,11298505,8.7,7.1,5.23,7.15,5.34,3.65,7.84,4.77,4.14,8.83,Dental Hygienist
10,5248891,3.04,7.02,6.19,4.03,6.36,8.27,2.34,7.41,9.33,8.48,Public Relations Specialist
11,6633302,7.38,9.06,4.49,9.34,5.72,6.14,8.44,3.52,5.06,5.64,Quality Control Inspector
12,1344652,5.66,7.23,4.97,6.1,4.56,5.48,9.23,7.6,3.85,6.23,Speech Therapist
13,13074436,6.79,7.96,3.56,5.53,4.1,5.07,5.97,7.37,3.01,6.78,Database Analyst
14,7892188,5.55,6.85,6.12,7.33,4.13,9.28,3.54,4.17,3.19,5.64,Biologist
15,3626383,8.32,6.54,9.34,5.66,6.26,8.79,2.34,4.33,3.01,9.34,Teacher
16,80949,5.48,9.34,5.75,8.77,3.92,9.45,2.34,6.5,4.8,8.77,Product Manager
17,5004099,5.8,7.21,6.2,7.02,3.95,9.43,2.7,6.95,3.77,6.2,Marketing Manager
18,3823888,5.88,7.38,4.22,6.28,4.38,9.45,6.85,4.1,4.1,3.45,Speech Pathologist
19,8485736,7.3,7.23,4.58,8.42,4.27,5.82,2.55,9.34,8.15,8.94,Diplomat
20,12373869,5.59,7.87,8.95,7.29,5.33,9.44,6.38,7.07,4.13,8.77,Biomedical Engineer
21,15528159,8.02,8.41,5.92,5.42,5.48,3.47,2.34,3.3,7.56,6.44,Journalist
22,4605538,6.09,6.8,9.34,6.44,3.98,6.15,7.3,6.48,6.3,6.29,Physician
23,2049244,6.49,6.96,5.32,9.34,5.66,8.04,7.24,4.25,3.59,8.27,Biotechnologist
24,9752694,5.47,7.11,2.89,4.9,5.63,8.49,7.86,4.43,3.97,7.8,Biotechnologist
25,5011131,2.9,6.99,5.45,6.05,5.48,6.53,3.57,4.26,7.05,5.45,Police Officer
26,7140981,6.71,5.32,7.83,8.3,6.69,7.7,3.13,7.28,3.01,7.94,Dental Hygienist
27,15268112,8.04,7.08,4.97,4.09,4.23,9.45,3.96,6.73,6.23,4.69,Database Administrator
28,4452228,6.01,6.93,5.94,6.69,5.86,5.3,2.34,6.56,3.01,6.81,Urban Planner
29,16476714,6.26,7.59,3.78,3.23,5.84,9.4,2.52,4.3,4.35,7.46,Human Rights Lawyer
30,16318799,6.93,7.16,6.45,5.63,6.06,9.45,4.31,9.34,3.18,5.34,Game Developer
31,11788567,5.63,7.34,7.21,5.07,5.28,5.95,4.97,3.9,5.97,6.52,Software Developer
32,7483714,6.57,5.56,5.56,6.68,5.94,9.37,3.22,9.34,5.78,8.2,Mechanical Designer
33,6035624,7.89,6.65,6.82,4.85,4.44,4.57,6.07,7.09,3.77,7.4,Social Media Manager
34,12413723,5.78,7.37,7.67,9.34,4.26,5.6,3.64,7.36,7.06,7.88,Fashion Designer
35,14559457,4.9,4.57,5.89,4.49,5.55,4.85,4.65,6.75,3.01,7.52,Tax Accountant
36,11773512,8.71,8.38,6.64,6.16,6.54,5.02,3.13,6.83,5.98,3.79,Event Photographer
37,5450220,7.47,7.37,5.34,7.58,4.5,5.32,3.21,6.46,6.69,8.3,Pharmacist
38,1686578,7.6,6.76,9.34,4.54,5.0,7.09,3.49,4.26,3.01,8.69,Astronomer
39,10611129,8.69,7.72,9.34,6.51,6.22,4.6,9.14,5.98,8.32,5.52,Chef
40,13371585,6.97,7.17,6.0,6.81,2.89,5.26,6.95,6.21,3.88,6.33,Software Quality Assurance Tester
41,6005912,7.26,9.45,9.04,7.32,4.69,5.06,3.64,6.93,4.35,6.89,Diplomat
42,2098421,5.61,5.21,5.84,6.5,5.2,5.52,3.86,6.66,3.01,6.15,Environmental Scientist
43,11982510,7.99,7.67,6.47,6.24,8.12,2.89,8.2,7.32,8.42,7.44,Human Rights Lawyer
44,5031373,5.88,6.79,5.02,6.27,5.33,9.24,4.56,6.37,6.27,8.13,Market Research Analyst
45,1271697,8.48,6.74,5.45,6.03,5.93,7.76,9.11,4.5,6.8,4.75,Financial Analyst
46,14419013,8.91,6.98,5.94,6.9,5.73,6.61,8.72,7.02,4.87,4.65,Pharmacist
47,15301802,7.04,6.92,6.42,6.04,5.51,9.45,2.68,6.34,5.76,7.1,Wildlife Biologist
48,10100830,8.03,7.44,8.36,6.35,4.16,7.08,8.83,6.84,3.01,6.32,Human Rights Lawyer
49,6064024,6.72,8.36,6.23,4.0,5.88,7.61,7.82,4.3,5.61,8.92,Environmental Engineer
50,12343535,5.28,6.87,9.34,4.31,4.09,4.6,2.67,6.94,4.31,6.53,Salesperson
51,6324489,7.69,7.35,4.66,3.23,3.83,9.01,3.03,4.38,5.76,8.93,Diplomat
52,13935663,7.46,3.56,9.34,6.86,3.87,9.45,3.87,7.15,6.28,7.59,Social Media Manager
53,12905513,6.67,7.55,4.57,6.37,3.79,5.69,4.06,3.05,3.01,5.26,Marketing Manager
54,6046780,5.91,3.56,5.86,6.24,5.86,6.16,4.27,7.63,5.03,5.48,Robotics Engineer
55,10235077,5.3,6.62,5.95,8.58,5.11,7.56,4.08,4.25,5.74,6.96,Biotechnologist
56,1092359,6.37,7.31,2.89,3.73,5.65,9.11,9.23,8.7,6.66,4.57,Journalist
57,15965349,7.99,7.11,9.34,5.81,5.92,4.61,5.87,9.34,3.01,6.39,Biologist
58,1538625,6.47,8.78,4.56,4.52,4.24,9.45,2.96,9.34,8.48,7.62,Event Photographer
59,12914815,8.11,7.03,3.91,6.81,6.21,9.45,2.34,5.62,6.16,7.53,Marketing Manager
60,4780994,7.4,6.89,5.0,5.01,6.01,8.45,3.04,4.22,5.63,5.84,Advertising Executive
61,10221881,6.41,7.15,8.93,3.49,5.81,8.81,9.23,9.34,6.35,5.81,Electronics Design Engineer
62,12601224,8.7,7.33,5.39,8.06,2.89,4.78,8.09,8.02,6.74,7.91,Social Worker
63,3892669,5.38,6.55,9.02,7.68,5.65,6.08,8.89,3.83,6.22,9.31,Web Developer
64,5087064,5.41,7.29,5.63,5.69,5.92,6.11,6.59,6.56,6.67,6.4,IT Project Manager
65,13286423,6.84,7.03,8.62,6.18,6.97,6.84,4.64,9.1,4.92,6.37,Advertising Executive
66,11844403,8.19,8.46,6.02,8.58,5.6,4.71,3.14,7.09,3.25,3.55,Astronomer
67,4861341,5.76,7.66,5.23,7.13,3.72,6.02,2.34,4.22,6.02,5.34,Teacher
68,12043888,5.7,6.58,4.78,9.14,4.66,7.83,4.37,4.89,3.01,9.34,Market Researcher
69,7751915,8.42,6.53,6.48,5.0,5.41,8.62,6.66,8.93,3.34,5.28,Environmental Engineer
70,16298460,9.45,8.32,8.5,5.74,4.36,6.0,3.53,3.01,6.31,6.39,Social Worker
71,8681179,7.76,6.76,4.88,5.73,3.68,8.7,2.84,4.6,3.74,6.16,Mechanical Designer
72,12555753,5.46,3.56,4.57,9.34,3.55,6.03,4.43,4.62,3.01,9.34,Web Developer
73,6800835,8.33,7.37,4.65,6.98,4.87,9.2,4.18,4.13,6.74,7.82,Rehabilitation Counselor
74,5011374,6.11,5.35,4.78,5.67,3.74,3.49,2.89,7.68,3.01,8.28,Robotics Engineer
75,12555875,9.23,3.56,4.24,6.57,3.8,5.47,2.61,7.08,4.07,7.84,Physician
76,2548993,5.53,7.41,4.7,3.78,3.95,9.45,3.29,6.82,4.27,7.23,Police Detective
77,2564209,7.24,6.41,8.02,7.24,6.53,9.45,6.11,9.15,3.44,5.67,Geologist
78,16134431,6.65,6.79,4.15,6.96,5.59,9.45,3.15,4.09,3.01,5.11,Event Planner
79,3648767,7.77,7.55,6.74,7.13,5.02,9.45,6.96,7.47,4.62,5.03,Product Manager
80,3655130,7.47,8.16,5.53,6.49,6.55,9.4,8.68,8.17,4.82,8.46,Zoologist
81,15359442,5.23,6.95,3.6,8.4,4.14,8.78,3.99,3.66,5.76,7.33,Customs and Border Protection Officer
82,6419635,2.67,6.09,5.26,8.56,2.89,4.73,6.6,9.34,8.64,5.65,Marketing Copywriter
83,3608306,7.34,6.75,6.12,7.54,8.06,4.79,3.51,7.62,4.84,7.7,Product Manager
84,11281824,6.63,7.19,8.51,4.32,4.08,4.99,3.99,7.66,3.01,8.88,Wildlife Conservationist
85,13816366,9.02,6.89,5.08,8.44,5.93,5.48,5.27,4.6,7.05,5.42,Speech Pathologist
86,2128534,5.41,8.62,6.55,3.23,4.28,9.45,4.11,4.32,7.74,6.52,Public Health Analyst
87,5133818,3.8,5.3,5.21,7.33,4.61,4.61,3.32,6.99,3.01,7.71,Artist
88,9114482,8.63,9.17,4.1,9.34,4.22,5.92,5.15,7.37,3.01,5.42,Musician
89,1934482,5.35,9.01,6.17,6.6,3.01,4.08,2.45,6.44,3.01,6.13,Forestry Technician
90,3025666,7.04,8.3,5.2,6.73,4.26,9.45,3.29,4.49,3.26,7.23,Forensic Scientist
